max_depth,MC,FE,PO,GC,MM,SG,RB,DCL,II,LM,SS
3,0.641055895324188,0.7614686512350584,0.608314450587631,0.6467557071137634,0.39825904274753376,0.4504125600117684,0.537548455235322,0.7841382636894558,0.5365745893908624,0.7893019943019943,0.7216314549647883
5,0.5948281065636176,0.6832705101228211,0.5093178826439029,0.5945776318190111,0.4144741643555685,0.45482547226832837,0.5029701522793675,0.8124372941612685,0.4542954023714749,0.7884032364610188,0.7547282210440105
7,0.5978029236635672,0.6879130393416107,0.535564352080928,0.5326804385068642,0.6001638001638002,0.4766068527264301,0.48890073191748096,0.7786752861995703,0.5117852764310882,0.755252188682962,0.660259368086896
10,0.5690911772175751,0.7178551394159379,0.5271075982840688,0.5807918936152233,0.48715389471785464,0.4383818278157901,0.532998132586368,0.781455938697318,0.4846703547250743,0.8147635863680589,0.7182222063674042
