train_percent,MC,FE,PO,GC,MM,SG,RB,DCL,II,LM,SS
0.25,"{3: 0.49091809141850157, 5: 0.45548678272082527, 7: 0.5742405122892927, 10: 0.5045418991765013}","{3: 0.6797015580425718, 5: 0.6292036645525017, 7: 0.5309892026021058, 10: 0.5860049113155482}","{3: 0.36931137293607225, 5: 0.424056888625972, 7: 0.4674014497344296, 10: 0.5309816641060321}","{3: 0.5953333333333333, 5: 0.5706599832915622, 7: 0.566025641025641, 10: 0.48782467532467527}","{3: 0.27904031177688465, 5: 0.2708610400682012, 7: 0.4413294314381272, 10: 0.54644708994709}","{3: 0.42772851179827925, 5: 0.3829642139880824, 7: 0.39401719901719895, 10: 0.4015171618886789}","{3: 0.5384379321111556, 5: 0.49573885573885573, 7: 0.49254060551423623, 10: 0.37285258289362255}","{3: 0.7543974474163153, 5: 0.7489845826687932, 7: 0.7441453177015488, 10: 0.6543848238482385}","{3: 0.5441332615426033, 5: 0.5270765479691272, 7: 0.4160573219883565, 10: 0.4768813176571798}","{3: 0.7589101556354969, 5: 0.7598176219718447, 7: 0.7301357628546569, 10: 0.6678764920838944}","{3: 0.6578710644677661, 5: 0.6186188415226349, 7: 0.7110612597066437, 10: 0.6314690382081687}"
0.5,"{3: 0.536538951324753, 5: 0.6277828509839453, 7: 0.5306725478912737, 10: 0.5482177148134595}","{3: 0.6403052456331146, 5: 0.7039885908109775, 7: 0.7419833661778952, 10: 0.7004848484848485}","{3: 0.5482519658265153, 5: 0.5398779836803173, 7: 0.44665012406947885, 10: 0.4544406470722261}","{3: 0.5408042328042327, 5: 0.6104126984126984, 7: 0.6343285609620184, 10: 0.5471795614797643}","{3: 0.45667431296758576, 5: 0.38141262246525404, 7: 0.35869880185957437, 10: 0.38547539417104637}","{3: 0.43953831115121444, 5: 0.35159524692338934, 7: 0.3769575561622108, 10: 0.45879770529403324}","{3: 0.4379440477575341, 5: 0.4587795304365908, 7: 0.5119799498746868, 10: 0.46430160039597423}","{3: 0.702683826036723, 5: 0.7295555555555555, 7: 0.7285749240407625, 10: 0.7948187266603581}","{3: 0.5644371234652634, 5: 0.5337270622719539, 7: 0.4468806424663809, 10: 0.4742690589749413}","{3: 0.7835449735449735, 5: 0.7890333677330582, 7: 0.7499564350360484, 10: 0.7695757250268529}","{3: 0.6990709773318469, 5: 0.7183336940836941, 7: 0.7105835595666103, 10: 0.7058253186332004}"
0.75,"{3: 0.6292995746943115, 5: 0.553717140533146, 7: 0.570230067169302, 10: 0.5344328023397791}","{3: 0.7748167484689225, 5: 0.6953855971515507, 7: 0.7199046342344981, 10: 0.7146225699766073}","{3: 0.4951554980966747, 5: 0.4711928315875684, 7: 0.5247763621577664, 10: 0.49428571428571433}","{3: 0.6396316879154408, 5: 0.6077306397306398, 7: 0.6845520517052398, 10: 0.5950899470899471}","{3: 0.5173113553113553, 5: 0.48368906455862976, 7: 0.4765094078035255, 10: 0.4568379446640317}","{3: 0.4324787043253037, 5: 0.39462184240987613, 7: 0.43991829547783634, 10: 0.4400266140503831}","{3: 0.4445676704255372, 5: 0.49037470771216907, 7: 0.4471575655966181, 10: 0.4380468654152865}","{3: 0.7918022328548643, 5: 0.8269333613376741, 7: 0.8265792181394674, 10: 0.8110552996608223}","{3: 0.5340013855004367, 5: 0.458523153942428, 7: 0.46486434710572644, 10: 0.46802955665024637}","{3: 0.8425701058201058, 5: 0.7509799076235814, 7: 0.8022412906242693, 10: 0.7633114526001605}","{3: 0.7243112743754226, 5: 0.6905574090479749, 7: 0.7098277751558277, 10: 0.7441530054644809}"
