max_depth,MC,FE,PO,GC,MM,SG,RB,DCL,II,LM,SS
3,0.6066197545144913,0.6938536759423114,0.546989898989899,0.5470143099684696,0.4927002220345874,0.5239229024943312,0.5722602219182246,0.7904173141673142,0.5272142042354809,0.7816550922717684,0.7176558995550364
5,0.6079512164300893,0.7490136118513733,0.4687109715681145,0.6388273125342091,0.5042892497701935,0.4451948051948052,0.4963126734505089,0.7887882150019156,0.5032515727716124,0.7694334777724283,0.6946830059873539
7,0.5806495298610443,0.7023781236684462,0.5365601743858204,0.638480025721405,0.5826260504201681,0.40529389966354473,0.4836568839496621,0.769291569086651,0.4803853377142677,0.7468065582307277,0.6970017015783606
10,0.5487401256991293,0.6999888283759251,0.495617348068782,0.6552791446909094,0.5459511399749091,0.39613542422053055,0.5194516905740841,0.7785908272011044,0.4002951638810604,0.7748939834422517,0.6848359968564572
