train_percent,MC,FE,PO,GC,MM,SG,RB,DCL,II,LM,SS
0.25,"{3: 0.327909563597796, 5: 0.44893220631361047, 7: 0.4510327581895474, 10: 0.5249203024318232}","{3: 0.6635452919173848, 5: 0.6544410109259463, 7: 0.6048904544228948, 10: 0.570885935539333}","{3: 0.5353691353691353, 5: 0.47585677150894534, 7: 0.5205309696588767, 10: 0.46460435590081295}","{3: 0.568636165577342, 5: 0.5810812324929973, 7: 0.39590601503759393, 10: 0.569941348973607}","{3: 0.48394503100385455, 5: 0.4308469308469308, 7: 0.31790170613700025, 10: 0.3173456302151954}","{3: 0.48191299790356396, 5: 0.3304769876491046, 7: 0.4556663455896192, 10: 0.3493436293436293}","{3: 0.4911439542939523, 5: 0.42544232735454984, 7: 0.5124932249322494, 10: 0.42336513680561366}","{3: 0.738377494284561, 5: 0.7752635159326888, 7: 0.7390482933576813, 10: 0.7234259259259259}","{3: 0.39900605403451705, 5: 0.41467532467532464, 7: 0.42815233785822027, 10: 0.4554644676206645}","{3: 0.8154388118645779, 5: 0.7518244364087693, 7: 0.7418471311969764, 10: 0.7472094578151016}","{3: 0.6717255692458164, 5: 0.6924164306871073, 7: 0.656308113331328, 10: 0.6253571226617048}"
0.5,"{3: 0.5549222497572569, 5: 0.5118856164954169, 7: 0.5809523809523809, 10: 0.6079423892325048}","{3: 0.7174390826564739, 5: 0.758379606725085, 7: 0.7236369675774907, 10: 0.7278271314793054}","{3: 0.4243256719352252, 5: 0.47234848484848485, 7: 0.583022533022533, 10: 0.5180540474839964}","{3: 0.6116790736145574, 5: 0.623434065934066, 7: 0.6074378253325621, 10: 0.5919825642734188}","{3: 0.4541848832171412, 5: 0.46689887379542555, 7: 0.3903225806451613, 10: 0.46463220002901773}","{3: 0.4986531986531986, 5: 0.4662828064128325, 7: 0.3998260073260073, 10: 0.38092814048696405}","{3: 0.5583079650345375, 5: 0.4587174066243834, 7: 0.4427763796184849, 10: 0.39431868232503176}","{3: 0.8122385582980091, 5: 0.8377885356203307, 7: 0.7858672613967306, 10: 0.7317079147267826}","{3: 0.438536866359447, 5: 0.3741129032258064, 7: 0.46931374694532585, 10: 0.3990392618593147}","{3: 0.6957796349687155, 5: 0.7904319579791278, 7: 0.7388972431077694, 10: 0.7879397175405702}","{3: 0.6489806290213592, 5: 0.6977374843516527, 7: 0.6890436114617053, 10: 0.67294568415783}"
0.75,"{3: 0.5794092476528481, 5: 0.522438699820104, 7: 0.5895841552907756, 10: 0.5325834925834926}","{3: 0.7427622623517491, 5: 0.760193131397827, 7: 0.7111544953645992, 10: 0.756321787161552}","{3: 0.512249322493225, 5: 0.557265221878225, 7: 0.5925638620865059, 10: 0.4675638740344623}","{3: 0.5931701890989989, 5: 0.5772958780350085, 7: 0.6144102564102564, 10: 0.5985295813631646}","{3: 0.5282146838668578, 5: 0.45926421404682277, 7: 0.48394951153571847, 10: 0.4254341736694678}","{3: 0.48482258349431023, 5: 0.43920634920634927, 7: 0.40383922383922377, 10: 0.41567521745540326}","{3: 0.41590790162218727, 5: 0.5133586351881825, 7: 0.5074560274560274, 10: 0.4959622688214152}","{3: 0.7848806366047746, 5: 0.7998021026592455, 7: 0.7716767676767675, 10: 0.8206106761362826}","{3: 0.49569690113807774, 5: 0.48146676852559206, 7: 0.43732770581294333, 10: 0.45742726242726234}","{3: 0.8189684149521878, 5: 0.8161326544531029, 7: 0.8197232340454846, 10: 0.7777207314709992}","{3: 0.7354574592074592, 5: 0.7828932279168456, 7: 0.7249942396313365, 10: 0.669646876339133}"
