train_percent,MC,FE,PO,GC,MM,SG,RB,DCL,II,LM,SS
0.25,"{3: 0.4598952224567988, 5: 0.5654124254124254, 7: 0.42960978829651886, 10: 0.38556067588325654}","{3: 0.6283789697280161, 5: 0.680953311557181, 7: 0.6056381176640195, 10: 0.5845865762144833}","{3: 0.43286825286825287, 5: 0.39374642710164204, 7: 0.515037270804348, 10: 0.5852922764130157}","{3: 0.5152820512820513, 5: 0.6327838827838828, 7: 0.6406334751835601, 10: 0.5231044709305579}","{3: 0.4202412239783798, 5: 0.3448547848547849, 7: 0.4683809523809524, 10: 0.4497425495397097}","{3: 0.475272444946358, 5: 0.4985156364103733, 7: 0.4613944456534476, 10: 0.4196980824153407}","{3: 0.527696701503311, 5: 0.5062566395718968, 7: 0.591332914665581, 10: 0.5462426934767359}","{3: 0.7793544730195304, 5: 0.7929647891342805, 7: 0.6972546670659878, 10: 0.6797189035743448}","{3: 0.4689906274478027, 5: 0.5769545756524422, 7: 0.4512512867125804, 10: 0.5389265279425463}","{3: 0.7677296213767665, 5: 0.7580675745337497, 7: 0.7469931981505804, 10: 0.735695766770394}","{3: 0.6537802887633396, 5: 0.6396873321991008, 7: 0.6653285224984966, 10: 0.6268733993793416}"
0.5,"{3: 0.4935883222468588, 5: 0.47211902304781567, 7: 0.5008448540706605, 10: 0.5732561931080756}","{3: 0.7251487642791989, 5: 0.6999398260053645, 7: 0.6794494542002848, 10: 0.722203548085901}","{3: 0.5589396873149732, 5: 0.49641266226632086, 7: 0.5549033495478748, 10: 0.49924174320891146}","{3: 0.46701449275362317, 5: 0.5469922669922671, 7: 0.6218014888337469, 10: 0.5255872473263776}","{3: 0.4621934225195095, 5: 0.36573429541595925, 7: 0.3733333333333333, 10: 0.5518997716761314}","{3: 0.38424051438757323, 5: 0.4424494949494949, 7: 0.4117142790130407, 10: 0.46998177261335156}","{3: 0.49729726589954637, 5: 0.5399726402188783, 7: 0.5485022127187581, 10: 0.4852176395033537}","{3: 0.8164277714622543, 5: 0.8166152135534313, 7: 0.7737082066869301, 10: 0.70695609152752}","{3: 0.5745865575684024, 5: 0.5530200296157743, 7: 0.4870759187772652, 10: 0.42484591591247567}","{3: 0.8032223902750903, 5: 0.7719511533242877, 7: 0.7794959842417469, 10: 0.7385631358926549}","{3: 0.6424953908706769, 5: 0.7183578340404232, 7: 0.7342886840788811, 10: 0.6467222432739674}"
0.75,"{3: 0.6490119462419114, 5: 0.5179514363885088, 7: 0.5650495557074504, 10: 0.519374227281204}","{3: 0.6765737046909949, 5: 0.7258437719915554, 7: 0.7314036506360241, 10: 0.7617796020356797}","{3: 0.57457453461605, 5: 0.5137471884840306, 7: 0.5861616161616162, 10: 0.59613324736729}","{3: 0.5331745244003308, 5: 0.5531807563959956, 7: 0.6297119550823667, 10: 0.6698368557656655}","{3: 0.5201386725991842, 5: 0.4333010631073824, 7: 0.5812878787878788, 10: 0.5141219820711653}","{3: 0.4356306306306307, 5: 0.4326197028636053, 7: 0.44522875816993457, 10: 0.5569337979094077}","{3: 0.5323166380335669, 5: 0.5402574978927047, 7: 0.5803543123543123, 10: 0.5030625402965828}","{3: 0.8026891260983648, 5: 0.8347005510668216, 7: 0.7989137422902804, 10: 0.7768290795030136}","{3: 0.5522666422152943, 5: 0.5374167190446261, 7: 0.49238983824349675, 10: 0.5529560602731334}","{3: 0.8015258805792864, 5: 0.7884480055324046, 7: 0.7923237178618325, 10: 0.7823340321453529}","{3: 0.7331093609293493, 5: 0.7224968158100168, 7: 0.736797168221264, 10: 0.7064035317353736}"
