max_depth,MC,FE,PO,GC,MM,SG,RB,DCL,II,LM,SS
3,0.571616357921522,0.7753821405905811,0.4429292929292929,0.6065116762885525,0.5609564855065704,0.4190065359477124,0.5192982456140351,0.7962879850397382,0.5533026469611835,0.7890180382696421,0.7244301879515417
5,0.5924818506213855,0.6788918943761121,0.5450801552116011,0.6206691675659142,0.48016234774855465,0.4831460501673267,0.503609485053023,0.7668924146343502,0.522300556586271,0.7592710473605997,0.7388180851511376
7,0.6040323886639676,0.7172057502246181,0.5503482082488167,0.5772750125691302,0.5385023310023309,0.414997351301338,0.519956043956044,0.7831789042967194,0.45379621369808704,0.7916546681915534,0.7284445696191317
10,0.5370254716245447,0.7056941739635594,0.5758490566037736,0.5949056879970096,0.5511002911976705,0.46850038850038844,0.5618330090656952,0.8302077678948345,0.528394013731975,0.7698140963957638,0.7427312760769857
